iter	Passed	Remaining
171	600334	2889981
172	603781	2886285
173	606967	2881351
174	610577	2878434
175	613874	2874050
176	617236	2869974
177	620505	2865482
178	623867	2861424
179	627212	2857300
180	630828	2854410
181	633895	2849045
182	637290	2845173
183	640813	2841870
184	644446	2839046
185	647399	2833243
186	650917	2829925
187	653870	2824162
188	657058	2819442
189	660365	2815243
190	663397	2809885
191	666527	2804969
192	669802	2800678
193	673547	2798346
194	677073	2795096
195	680586	2791792
196	683813	2787320
197	686596	2781064
198	689777	2776439
199	693200	2772803
200	696463	2768529
201	699815	2764618
202	703251	2761041
203	706819	2757981
204	710036	2753556
205	713614	2750531
206	717075	2747058
207	720267	2742556
208	723386	2737792
209	726687	2733728
210	729847	2729145
211	733174	2725196
212	736222	2720220
213	739172	2714905
214	742454	2710821
215	745633	2706375
216	749039	2702756
217	752453	2699167
218	755806	2695364
219	759171	2691609
220	762512	2687770
221	765930	2684208
222	769334	2680595
223	772568	2676399
224	775492	2671139
225	779118	2668308
226	782665	2665200
227	785732	2660463
228	788732	2655512
229	792051	2651652
230	795515	2648275
231	799035	2645084
232	802812	2642734
233	806139	2638900
234	809078	2633810
235	812307	2629672
236	815744	2626214
237	819266	2623030
238	822576	2619165
239	825633	2614506
240	829131	2611248
241	832466	2607477
242	836146	2604784
243	839517	2601127
244	843110	2598157
245	847060	2596275
246	850595	2593110
247	854000	2589550
248	857243	2585501
249	860301	2580903
250	863876	2577862
251	866934	2573282
252	870349	2569765
253	874136	2567345
254	877471	2563593
255	880886	2560077
256	884144	2556105
257	887456	2552298
258	890671	2548213
259	893802	2543900
260	896999	2539780
261	900407	2536262
262	903816	2532747
263	906997	2528599
264	910811	2526211
265	914162	2522538
266	917417	2518603
267	920973	2515495
268	924611	2512607
269	927863	2508669
270	930969	2504342
271	933951	2499692
272	937329	2496111
273	940681	2492463
274	944340	2489624
275	947379	2485155
276	950547	2481031
277	953942	2477506
278	957307	2473901
279	960565	2470025
280	963676	2465777
281	966880	2461774
282	970027	2457631
283	973384	2454026
284	976305	2449327
285	979788	2446046
286	982909	2441863
287	986274	2438290
288	989796	2435103
289	993432	2432197
290	997298	2429844
291	1000612	2426143
292	1004395	2423575
293	1007890	2420307
294	1011831	2418105
295	1015001	2414058
296	1019199	2412448
297	1022773	2409352
298	1026048	2405551
299	1030123	2403622
300	1033273	2399528
301	1037127	2397068
302	1040772	2394120
303	1043678	2389473
304	1047055	2385913
305	1049917	2381185
306	1053318	2377686
307	1056699	2374142
308	1060140	2370734
309	1063478	2367097
310	1067028	2363930
311	1070637	2360893
312	1074253	2357867
313	1077316	2353628
314	1081035	2350823
315	1085180	2348934
316	1088522	2345302
317	1091954	2341863
318	1096173	2340107
319	1099808	2337093
320	1103518	2334233
321	1107298	2331516
322	1111081	2328798
323	1115035	2326432
324	1118449	2322933
325	1122062	2319846
326	1125048	2315466
327	1128448	2311943
328	1132146	2309028
329	1135408	2305222
330	1140074	2304259
331	1145668	2305140
332	1150388	2304231
333	1154862	2302808
334	1159111	2300922
335	1163372	2299045
336	1167551	2296992
337	1172528	2296489
338	1177391	2295739
339	1182146	2294755
340	1186894	2293734
341	1191809	2293012
342	1196551	2291937
343	1200924	2290135
344	1206204	2290039
345	1209929	2286975
346	1214298	2285120
347	1219616	2285028
348	1223028	2281351
349	1226742	2278235
350	1230573	2275333
351	1234159	2271974
352	1237703	2268538
353	1241518	2265596
354	1245078	2262185
355	1248995	2259419
356	1252773	2256395
357	1256061	2252489
358	1259373	2248629
359	1262633	2244681
360	1265901	2240750
361	1269053	2236618
362	1272280	2232625
363	1275582	2228764
364	1279091	2225269
365	1282170	2221028
366	1285618	2217429
367	1288978	2213680
368	1292450	2210125
369	1295775	2206320
370	1299222	2202725
371	1302848	2199432
372	1306380	2195980
373	1309729	2192221
374	1312996	2188326
375	1316522	2184866
376	1319947	2181239
377	1322896	2176829
378	1326439	2173400
379	1329913	2169858
380	1333315	2166200
381	1336677	2162478
382	1340272	2159134
383	1344973	2157561
384	1348638	2154319
385	1351875	2150393
386	1355494	2147075
387	1359028	2143622
388	1362302	2139760
389	1365732	2136146
390	1369515	2133082
391	1373293	2130005
392	1376980	2126786
393	1381231	2124431
394	1384869	2121128
395	1387992	2117039
396	1391538	2113595
397	1394571	2109377
398	1397650	2105233
399	1401169	2101753
400	1404638	2098200
401	1408169	2094739
402	1411558	2091067
403	1415330	2087963
404	1419005	2084712
405	1422294	2080893
406	1425675	2077213
407	1428719	2073044
408	1431746	2068856
409	1435131	2065189
410	1438629	2061685
411	1442153	2058218
412	1445611	2054658
413	1448859	2050800
414	1452382	2047334
415	1455795	2043713
416	1459370	2040318
417	1462396	2036160
418	1466241	2033141
419	1469619	2029474
420	1472875	2025640
421	1476208	2021915
422	1479665	2018361
423	1482652	2014169
424	1486053	2010543
425	1489852	2007454
426	1493161	2003703
427	1496546	2000057
428	1499653	1996041
429	1503213	1992631
430	1506506	1988867
431	1509992	1985359
432	1513059	1981303
433	1516625	1977903
434	1519933	1974166
435	1523403	1970641
436	1526977	1967249
437	1530356	1963607
438	1533120	1959181
439	1536336	1955337
440	1539564	1951511
441	1543056	1948021
442	1546115	1943987
443	1549401	1940241
444	1552737	1936560
445	1555997	1932785
446	1559098	1928817
447	1562633	1925388
448	1566041	1921801
449	1569629	1918435
450	1573078	1914900
451	1576120	1910871
452	1579340	1907062
453	1582932	1903703
454	1586172	1899921
455	1589078	1895742
456	1592342	1891995
457	1595941	1888647
458	1599435	1885173
459	1602446	1881132
460	1605685	1877363
461	1608657	1873285
462	1611749	1869350
463	1615294	1865943
464	1618720	1862399
465	1621661	1858298
466	1625113	1854787
467	1628455	1851149
468	1631635	1847331
469	1634581	1843251
470	1637998	1839705
471	1641546	1836306
472	1644944	1832739
473	1648385	1829220
474	1651835	1825713
475	1655294	1822214
476	1658284	1818203
477	1661935	1814916
478	1665598	1811642
479	1668755	1807818
480	1672578	1804715
481	1675532	1800676
482	1678873	1797055
483	1681918	1793119
484	1685807	1790084
485	1689219	1786540
486	1692565	1782927
487	1695911	1779317
488	1699297	1775748
489	1702579	1772072
490	1706039	1768582
491	1709625	1765222
492	1712804	1761444
493	1716143	1757830
494	1719853	1754598
495	1723195	1750988
496	1726384	1747226
497	1730022	1743918
498	1733204	1740151
499	1736954	1736954
500	1739988	1733042
501	1743375	1729484
502	1746523	1725689
503	1750150	1722370
504	1753509	1718786
505	1756928	1715262
506	1760163	1711559
507	1763714	1708164
508	1767960	1705439
509	1771721	1702242
510	1775393	1698957
511	1779681	1696258
512	1785401	1694913
513	1789987	1692478
514	1793913	1689413
515	1797391	1685925
516	1801357	1682892
517	1805385	1679914
518	1808829	1676390
519	1812478	1673057
520	1815708	1669337
521	1819121	1665785
522	1822480	1662185
523	1825339	1658132
524	1828787	1654617
525	1831820	1650727
526	1835559	1647475
527	1838980	1643936
528	1842410	1640406
529	1845538	1636609
530	1848904	1633024
531	1852699	1629818
532	1855648	1625867
533	1858540	1621872
534	1861822	1618219
535	1865055	1614525
536	1868848	1611316
537	1872067	1607611
538	1875241	1603870
539	1878370	1600093
540	1882311	1597007
541	1885491	1593274
542	1888844	1589690
543	1892155	1586071
544	1895203	1582233
545	1898565	1578660
546	1901635	1574845
547	1904701	1571030
548	1908029	1567434
549	1910989	1563536
550	1914329	1559953
551	1917800	1556475
552	1920973	1552758
553	1924170	1549061
554	1927232	1545258
555	1930536	1541651
556	1933625	1537874
557	1937383	1534629
558	1941018	1531286
559	1944634	1527927
560	1948423	1524702
561	1952868	1521986
562	1957117	1519112
563	1960719	1515733
564	1964711	1512654
565	1968198	1509183
566	1971915	1505889
567	1975656	1502612
568	1979194	1499178
569	1982355	1495461
570	1985884	1492022
571	1989297	1488495
572	1992670	1484939
573	1995743	1481161
574	1998743	1477331
575	2002101	1473769
576	2006041	1470633
577	2010076	1467564
578	2013692	1464187
579	2017388	1460867
580	2020764	1457315
581	2024678	1454150
582	2028958	1451244
583	2032891	1448087
584	2036251	1444520
585	2040361	1441483
586	2044510	1438471
587	2048350	1435238
588	2052128	1431960
589	2055686	1428528
590	2059376	1425186
591	2063019	1421810
592	2067114	1418744
593	2070900	1415464
594	2074772	1412240
595	2078671	1409032
596	2082748	1405942
597	2086637	1402722
598	2090333	1399372
599	2094328	1396218
600	2099155	1393615
601	2102952	1390323
602	2106438	1386825
603	2109802	1383247
604	2113439	1379849
605	2117438	1376684
606	2121566	1373600
607	2125769	1370561
608	2130082	1367589
609	2134030	1364379
610	2138373	1361419
611	2142352	1358223
612	2146231	1354961
613	2150254	1351788
614	2154183	1348553
615	2157737	1345083
616	2161880	1341977
617	2165972	1338837
618	2169764	1335509
619	2173468	1332125
620	2177394	1328877
621	2181520	1325747
622	2185156	1322317
623	2189502	1319315
624	2193543	1316125
625	2197084	1312635
626	2200753	1309220
627	2204854	1306060
628	2209066	1302962
629	2213153	1299788
630	2217124	1296543
631	2220928	1293198
632	2224460	1289695
633	2228412	1286433
634	2232292	1283128
635	2236898	1280237
636	2240710	1276888
637	2244892	1273747
638	2248860	1270483
639	2253153	1267398
640	2257632	1264415
641	2261717	1261206
642	2266045	1258131
643	2270053	1254874
644	2274077	1251623
645	2278508	1248594
646	2282415	1245274
647	2286240	1241908
648	2290201	1238614
649	2294329	1235408
650	2297919	1231910
651	2301712	1228521
652	2305316	1225030
653	2309338	1221760
654	2312972	1218283
655	2317377	1215210
656	2321263	1211862
657	2325126	1208500
658	2329181	1205236
659	2332693	1201690
660	2336862	1198481
661	2340550	1195024
662	2344674	1191787
663	2348859	1188579
664	2352417	1185052
665	2356167	1181621
666	2360275	1178368
667	2364029	1174936
668	2367574	1171401
669	2372063	1168329
670	2375959	1164963
671	2379585	1161464
672	2383865	1158282
673	2387444	1154757
674	2391371	1151401
675	2395449	1148114
676	2399993	1145048
677	2404135	1141787
678	2408209	1138490
679	2412127	1135118
680	2416287	1131858
681	2419988	1128381
682	2424237	1125158
683	2428763	1122060
684	2432440	1118567
685	2436797	1115385
686	2441117	1112183
687	2444853	1108712
688	2448691	1105287
689	2452473	1101835
690	2456559	1098519
691	2460611	1095185
692	2464656	1091846
693	2468667	1088490
694	2473016	1085280
695	2476697	1081775
696	2480516	1078330
697	2484420	1074921
698	2487803	1071286
699	2492094	1068040
700	2495618	1064464
701	2499860	1061194
702	2504007	1057880
703	2508025	1054510
704	2511880	1051070
705	2515750	1047635
706	2519755	1044254
707	2523857	1040912
708	2528836	1037928
709	2533119	1034654
710	2537531	1031429
711	2541768	1028131
712	2546685	1025103
713	2551432	1022002
714	2556270	1018933
715	2559892	1015376
716	2564104	1012052
717	2568833	1008929
718	2573166	1005646
719	2578022	1002564
720	2582111	999180
721	2587353	996238
722	2591049	992697
723	2594682	989132
724	2599184	985897
725	2603140	982452
726	2607402	979120
727	2610890	975497
728	2614873	972058
729	2618594	968521
730	2622358	964999
731	2626375	961569
732	2629899	957958
733	2634247	954645
734	2638302	951224
735	2642050	947691
736	2645668	944112
737	2649459	940594
738	2653415	937133
739	2656841	933484
740	2660842	930037
741	2664390	926432
742	2668066	922870
743	2672158	919452
744	2676071	915970
745	2679583	912351
746	2683240	908781
747	2687019	905252
748	2690626	901665
749	2694504	898168
750	2698438	894688
751	2702435	891228
752	2706307	887726
753	2710406	884297
754	2714204	880768
755	2717545	877091
756	2721369	873570
757	2725138	870030
758	2728994	866518
759	2732578	862919
760	2736791	859517
761	2741752	856347
762	2746503	853107
763	2751179	849840
764	2754659	846202
765	2758246	842597
766	2762641	839237
767	2766633	835753
768	2770270	832161
769	2773951	828582
770	2777664	825013
771	2781751	821553
772	2785549	818007
773	2789427	814483
774	2793503	811017
775	2797475	807518
776	2801303	803977
777	2805467	800531
778	2809548	797060
779	2813184	793462
780	2817098	789941
781	2821183	786468
782	2824843	782874
783	2828478	779274
784	2832237	775708
785	2836061	772159
786	2839947	768626
787	2843845	765095
788	2847725	761558
789	2851789	758070
790	2855425	754467
791	2858841	750806
792	2862912	747317
793	2866868	743797
794	2870820	740274
795	2874962	736799
796	2879649	733461
797	2883477	729902
798	2887296	726341
799	2891312	722828
800	2895009	719234
801	2898952	715701
802	2903062	712208
803	2907348	708756
804	2911707	705320
805	2916095	701888
806	2919524	698225
807	2922884	694546
808	2926425	690911
809	2929789	687234
810	2933453	683628
811	2937618	680138
812	2941842	676660
813	2945687	673093
814	2949676	669558
815	2953775	666047
816	2957483	662447
817	2961288	658868
818	2965216	655316
819	2969313	651800
820	2973339	648267
821	2977451	644752
822	2981542	641230
823	2985527	637685
824	2989083	634048
825	2992981	630482
826	2996763	626892
827	2999592	623103
828	3003240	619486
829	3007275	615947
830	3010811	612306
831	3014877	608773
832	3018643	605178
833	3022531	601607
834	3026432	598037
835	3030035	594408
836	3034040	590858
837	3038121	587321
838	3042152	583774
839	3046024	580195
840	3049609	576561
841	3053869	573053
842	3057837	569490
843	3061888	565941
844	3065990	562400
845	3069830	558810
846	3073588	555205
847	3077148	551564
848	3080883	547954
849	3084684	544356
850	3088776	540808
851	3092824	537251
852	3096920	533701
853	3100511	530064
854	3104055	526418
855	3107811	522809
856	3111938	519261
857	3115243	515576
858	3119206	512000
859	3122932	508384
860	3127595	504919
861	3131523	501334
862	3135313	497726
863	3139457	494173
864	3143738	490641
865	3147569	487037
866	3151377	483429
867	3155262	479832
868	3159435	476278
869	3163692	472735
870	3167241	469086
871	3171200	465497
872	3175141	461904
873	3178810	458272
874	3182456	454636
875	3186224	451018
876	3190238	447433
877	3194908	443939
878	3198610	440309
879	3202358	436685
880	3205762	433014
881	3209691	429414
882	3213592	425810
883	3217822	422248
884	3221590	418624
885	3225919	415073
886	3229873	411472
887	3234153	407911
888	3237643	404250
889	3241509	400635
890	3245629	397052
891	3249153	393395
892	3252899	389765
893	3256870	386161
894	3260875	382560
895	3264857	378956
896	3268957	375365
897	3272859	371750
898	3276761	368134
899	3280232	364470
900	3284509	360895
901	3288297	357265
902	3292108	353637
903	3296051	350023
904	3299960	346404
905	3304458	342846
906	3308196	339208
907	3312315	335609
908	3315999	331964
909	3319940	328345
910	3324104	324747
911	3327773	321100
912	3331467	317456
913	3335386	313832
914	3339380	310215
915	3342942	306558
916	3346481	302898
917	3350035	299240
918	3353626	295586
919	3357748	291978
920	3361589	288344
921	3365647	284729
922	3369686	281111
923	3373845	277502
924	3377952	273888
925	3382277	270289
926	3386528	266684
927	3390331	263042
928	3394475	259427
929	3398380	255792
930	3402047	252138
931	3405429	248464
932	3409281	244825
933	3413085	241181
934	3417490	237579
935	3421086	233920
936	3424543	230252
937	3428416	226611
938	3432176	222963
939	3435632	219295
940	3439385	215646
941	3443152	211998
942	3446828	208344
943	3450769	204706
944	3454820	201074
945	3459179	197458
946	3463260	193825
947	3467182	190183
948	3470941	186531
949	3474633	182875
950	3478727	179240
951	3482667	175596
952	3486358	171940
953	3490286	168294
954	3493978	164637
955	3497820	160987
956	3501892	157347
957	3506212	153717
958	3510681	150091
959	3514947	146456
960	3518581	142793
961	3522146	139128
962	3525911	135471
963	3529969	131824
964	3533237	128148
965	3537439	124506
966	3541345	120852
967	3545522	117207
968	3549351	113549
969	3553142	109891
970	3557541	106249
971	3562029	102609
972	3565942	98952
973	3569955	95296
974	3573957	91639
975	3577881	87980
976	3581758	84319
977	3585021	80644
978	3588602	76977
979	3592329	73312
980	3596223	69651
981	3600156	65990
982	3604038	62328
983	3608165	58669
984	3612050	55005
985	3615525	51336
986	3619598	47674
987	3623231	44006
988	3627203	40343
989	3631409	36680
990	3635335	33015
991	3639225	29348
992	3642209	25675
993	3646236	22009
994	3650413	18343
995	3654316	14675
996	3658445	11008
997	3662569	7339
998	3666069	3669
999	3669973	0
